m.name,n
hsa-miR-1285-3p,3
hsa-miR-1286,3
hsa-miR-1301-3p,3
hsa-miR-1322,3
hsa-miR-1324,3
hsa-miR-136-5p,3
hsa-miR-137,3
hsa-miR-138-2-3p,3
hsa-miR-141-3p,3
hsa-miR-143-3p,3
hsa-miR-145-5p,3
hsa-miR-149-5p,3
hsa-miR-154-5p,3
hsa-miR-15b-5p,3
hsa-miR-1827,3
hsa-miR-183-3p,3
hsa-miR-192-3p,3
hsa-miR-193a-5p,3
hsa-miR-194-5p,3
hsa-miR-199a-5p,3
hsa-miR-200a-3p,3
hsa-miR-200a-5p,3
hsa-miR-200b-5p,3
hsa-miR-200c-3p,3
hsa-miR-204-5p,3
hsa-miR-205-3p,3
hsa-miR-205-5p,3
hsa-miR-206,3
hsa-miR-212-3p,3
hsa-miR-216b-5p,3
hsa-miR-217,3
hsa-miR-224-5p,3
hsa-miR-2355-3p,3
hsa-miR-26a-5p,3
hsa-miR-27b-5p,3
hsa-miR-296-5p,3
hsa-miR-298,3
hsa-miR-29a-3p,3
hsa-miR-29b-3p,3
hsa-miR-29c-3p,3
hsa-miR-300,3
hsa-miR-302b-3p,3
hsa-miR-302d-3p,3
hsa-miR-30c-1-3p,3
hsa-miR-30c-2-3p,3
hsa-miR-3121-3p,3
hsa-miR-3125,3
hsa-miR-3159,3
hsa-miR-3192-5p,3
hsa-miR-320e,3
hsa-miR-323a-3p,3
hsa-miR-330-3p,3
hsa-miR-330-5p,3
hsa-miR-331-3p,3
hsa-miR-335-3p,3
hsa-miR-33a-3p,3
hsa-miR-340-5p,3
hsa-miR-34c-3p,3
hsa-miR-34c-5p,3
hsa-miR-3607-3p,3
hsa-miR-3609,3
hsa-miR-361-3p,3
hsa-miR-3619-5p,3
hsa-miR-365a-3p,3
hsa-miR-3671,3
hsa-miR-3714,3
hsa-miR-381-3p,3
hsa-miR-382-5p,3
hsa-miR-3920,3
hsa-miR-3923,3
hsa-miR-409-3p,3
hsa-miR-410-3p,3
hsa-miR-421,3
hsa-miR-424-5p,3
hsa-miR-4269,3
hsa-miR-431-5p,3
hsa-miR-452-5p,3
hsa-miR-485-3p,3
hsa-miR-491-5p,3
hsa-miR-501-5p,3
hsa-miR-5011-5p,3
hsa-miR-508-5p,3
hsa-miR-509-3-5p,3
hsa-miR-512-3p,3
hsa-miR-517-5p,3
hsa-miR-518a-5p,3
