baseMean,log2FoldChange,lfcSE,pvalue,padj,name,countChange
1679324.45414248,1.32617983097369,0.148630458879695,5.72822322821356e-21,7.84050554361731e-19,hsa-miR-486-5p,2531377.68495988
1434442.0742278,0.372289616663623,0.122895194728535,0.0020407148672663,0.0120138859121322,hsa-miR-92a-3p,422307.602209792
504617.541813189,-0.846670290663528,0.176187017326572,2.67260258635772e-07,3.72802526377287e-06,hsa-let-7i-5p,-224016.557776311
277895.726670942,-1.60705752319801,0.310802828645692,2.12005359031891e-08,3.72668776498463e-07,hsa-miR-451a,-186671.676693477
259935.404095224,-1.12969984630371,0.197304178315016,1.74613638517346e-09,3.78617691438602e-08,hsa-let-7g-5p,-141142.117995943
228134.569694969,0.684650359498818,0.132979339479865,1.58860213176596e-07,2.2888412293207e-06,hsa-let-7b-5p,138548.952674633
125573.142082482,-2.21172676991247,0.329730297635573,3.9375822989528e-12,1.30656139919797e-10,hsa-let-7f-5p,-98464.9433194684
308788.874550539,-0.532064891739012,0.210233613774086,0.00728941454742285,0.0336080375975917,hsa-let-7a-5p,-95241.541213807
182331.232140069,-0.91905806047406,0.151015980307887,1.80444335556417e-10,4.64909523374768e-09,hsa-miR-25-3p,-85904.5946085792
76543.3327003222,0.794672815182411,0.13742054404939,9.90442466036551e-09,1.85390512873508e-07,hsa-miR-423-5p,56235.1561408242
72901.0596980719,0.710935931986781,0.13125091118984,2.607878069092e-08,4.53274045342181e-07,hsa-miR-320a,46428.1822804994
59240.7201200906,-1.38002507275448,0.195284143945233,2.50078160839988e-13,1.07386504360701e-11,hsa-miR-191-5p,-36479.7175709248
95269.8275528542,0.467212134592997,0.159471763316822,0.00226483833006997,0.0130772240378029,hsa-miR-423-3p,36434.5608558805
44261.251238273,-1.26506227758871,0.232550379820723,1.02976081750852e-08,1.9111662630031e-07,hsa-miR-26a-5p,-25844.9676023811
6280.56440287383,1.91970792087731,0.176347485921903,2.8339955375538e-29,2.06881674241428e-26,hsa-let-7d-3p,17481.7282595489
22778.3158109429,-1.55884720641869,0.300714171474532,3.14701573506618e-08,5.34260810836816e-07,hsa-miR-183-5p,-15046.8499569968
20712.8297013076,-1.64244584947264,0.213841222707408,6.94897281695559e-17,5.07275015637758e-15,hsa-miR-363-3p,-14078.241569123
15175.2824897657,0.869891367392681,0.134085090163981,5.23890585709701e-11,1.52976051027233e-09,hsa-miR-1180-3p,12557.9299760148
16279.0696244625,-1.68809914197268,0.24417071003077,3.65389947591003e-12,1.23108305419123e-10,hsa-miR-22-3p,-11227.0956658663
48085.6078274331,-0.356361490319178,0.188718078403609,0.0473113602847466,0.150817873396791,hsa-let-7d-5p,-10524.394538836
14315.5928331844,-1.85452208151256,0.315323410915156,4.04596917815231e-10,9.74725830135218e-09,hsa-miR-182-5p,-10356.984236573
34349.8122373332,0.355645881859615,0.148151460420914,0.0134320770108846,0.0548810609213382,hsa-miR-106b-3p,9602.77511594306
15798.7833407918,-1.32478694923794,0.24552212406147,3.03887457660758e-09,6.3991685795871e-08,hsa-miR-185-5p,-9491.78039584961
12231.9471811238,-1.69694129426864,0.199796225150834,2.84151010695748e-19,2.82859415192585e-17,hsa-miR-151a-3p,-8459.13342747505
15864.5777041835,-1.04037825519104,0.148471018568197,6.54569190581065e-14,3.05001388802666e-12,hsa-miR-103a-3p,-8151.2203113574
14908.5255395952,-1.07445785492682,0.268818825320695,1.24249326542979e-05,0.000130288347684796,hsa-miR-26b-5p,-7829.22010518325
13819.7387578816,-0.94994927466628,0.159922811106587,2.1546046489004e-10,5.48672579196729e-09,hsa-miR-126-3p,-6665.94183758758
19157.2328432117,-0.551699015072453,0.200392444024423,0.00378656673658086,0.019791363133919,hsa-let-7c-5p,-6087.85765231303
10794.2487351006,-1.16277586720186,0.154784496329291,4.3729186775638e-15,2.28016473901541e-13,hsa-miR-93-5p,-5972.97258820251
10782.7975727227,-1.16156252558493,0.13255516285372,1.68890123064999e-19,1.76128271196356e-17,hsa-miR-140-3p,-5962.58390128273
6716.73862005773,-2.99533262869025,0.341635495419947,7.68626904365063e-20,8.41646460279744e-18,hsa-miR-7-5p,-5874.42566574138
6012.73848435352,0.927969622823732,0.220372502526274,6.543077152718e-06,7.38625719817136e-05,hsa-miR-328-3p,5427.07665997026
2711.51421055377,1.54786280856835,0.218235123369922,5.18186513069236e-13,2.06332447931205e-11,hsa-miR-424-3p,5216.51094309767
27083.1991110058,-0.301099185206055,0.169339277054534,0.0600642044082029,0.180687647876325,hsa-miR-181a-5p,-5101.55986152906
11712.2204769242,-0.765365199989134,0.161232994821657,6.97529146768331e-07,9.14723851151284e-06,hsa-miR-15b-5p,-4821.86930934828
7657.40158393612,-1.33938220963907,0.116372043085964,4.60851750602978e-32,5.04632666910261e-29,hsa-miR-378a-3p,-4631.27421773924
3136.9582614805,1.29516260634081,0.186077597883134,4.32502833450866e-13,1.75403926899518e-11,hsa-miR-197-3p,4561.28328996943
6813.3737713391,0.675045940204573,0.16999247853429,5.92217772274021e-05,0.000549558017491571,hsa-miR-320b,4065.18320716162
49566.8786281093,-0.116074454763847,0.109789385263685,0.283960470627654,0.528586648239723,hsa-miR-30d-5p,-3831.77385294747
5227.15136740238,0.792753331114214,0.155128938337063,1.63868947426054e-07,2.34557512982391e-06,hsa-miR-1307-3p,3828.24799470765
16078.5861269206,0.299043620966398,0.149097975191034,0.035679132017509,0.121519905316244,hsa-miR-3615,3703.35733371786
7104.64434722698,-1.02048181732635,0.218451956445524,6.71763220881219e-07,8.86241839596307e-06,hsa-miR-128-3p,-3602.39788442422
4303.25790401152,-2.14100864929229,0.173812408289619,6.82878069260594e-36,1.4955029716807e-32,hsa-miR-532-5p,-3327.61800920383
4468.05848424527,-1.96740573348116,0.243185407281587,2.19654005301354e-17,1.71800811289273e-15,hsa-miR-21-5p,-3325.52033583554
3968.26485456617,0.860799547065482,0.20168993779462,4.71506584029949e-06,5.46348898955338e-05,hsa-miR-4732-3p,3238.28067157714
4116.30219415516,-2.05938179546818,0.263477927515977,1.00981485770872e-16,6.91092043244403e-15,hsa-miR-148a-3p,-3128.72385105789
3503.89383965123,-2.11643647251164,0.289710683309626,7.42139917832443e-15,3.69383277284784e-13,hsa-miR-16-5p,-2695.84041097161
3216.94042074011,-2.39438602825812,0.295352156618223,4.31548840860033e-20,5.2505108971304e-18,hsa-miR-101-3p,-2605.06782602029
3231.37736691673,0.844567087469098,0.131756494537404,3.68107669051634e-11,1.11966082669872e-09,hsa-miR-744-5p,2571.29039757329
3371.51331816305,-1.76603256416687,0.18022374878374,5.07619405715936e-24,1.38960812314738e-21,hsa-miR-186-5p,-2380.23386490517
9014.09874457289,0.312294078114461,0.144683226499105,0.0264443103850839,0.0949060157025012,hsa-miR-484,2178.53251517536
1729.12309708208,1.16610911822304,0.337817177841265,0.000340646408017447,0.00254612844217819,tRF-22-WEKSPM852,2151.12714611435
1629.30466949472,1.18966056616236,0.395862626887144,0.00111458102419741,0.0071164211165957,tRF-18-8R6546D2,2087.12413326653
3830.11831353708,0.619910707210592,0.210292791646647,0.00196580899348114,0.0116377919367195,hsa-miR-92b-3p,2055.93114713508
5444.85558100128,-0.684033201332476,0.20468690226323,0.000517519432242896,0.00370381554448347,hsa-miR-629-5p,-2055.85336031365
2775.63945999499,-1.8013133028178,0.282668608607533,1.95131498663618e-11,6.10482831533318e-10,hsa-miR-98-5p,-1979.27161294058
1455.52896171993,1.20928520905975,0.366053697372517,0.000377644086780099,0.00277530385922288,tRF-18-HR0VX6D2,1909.98946381656
2783.09910830771,0.729637972320753,0.221635759547133,0.000596762805319352,0.00413579285964994,hsa-miR-574-5p,1831.89964259005
2143.80345716392,-2.02740803836161,0.219538802361383,3.60531498898527e-23,7.89563982587773e-21,hsa-miR-146b-5p,-1617.9383754178
2327.42184283601,0.663517533908891,0.165628982116595,2.55511921972701e-05,0.000253199596886976,hsa-miR-2110,1359.07432011529
6660.21566472784,0.260529306584046,0.226037027701201,0.21005368349273,0.442324583508729,hsa-miR-941,1318.17739666594
576.224930422634,1.70504284065985,0.342450806246839,5.228672190621e-07,7.11229322823602e-06,hsa-miR-4508,1302.49084910601
2225.62369815864,-1.21913740082736,0.12446641452935,1.9086979428116e-23,4.64449832750824e-21,hsa-miR-425-5p,-1269.63048195945
2085.83878485698,-1.29073107878117,0.219072504051014,6.59101521582405e-11,1.87458744450061e-09,hsa-miR-148b-3p,-1233.26501402743
2222.73925449914,-1.08869797369101,0.180093060001129,1.50788544266365e-10,3.97863749329324e-09,hsa-miR-107,-1177.63943413444
1442.5822868013,-1.82717647650912,0.175714241881076,2.00715873679029e-26,1.09891940839268e-23,hsa-miR-192-5p,-1036.04005362094
1309.7652122602,0.833506940353253,0.3724787913546,0.0132114749414974,0.0541818916140061,tRF-18-8R6Q46D2,1024.25193263455
1784.9386639237,-1.14573674972323,0.38576932676117,0.000485921163970865,0.00348907327572523,hsa-miR-17-5p,-978.219882116998
866.285421990888,1.08054085737811,0.235796830513899,2.05532901933301e-06,2.51462042030128e-05,tRF-22-WE8SPOX52,965.759910297303
867.397912550534,1.05347765921604,0.486030812919972,0.010545536895001,0.0453727422397883,tRF-22-8EKSP1852,932.909824154642
1366.65437782397,-1.61644458424266,0.364109938328688,8.59928410305247e-07,1.11434509974467e-05,hsa-miR-20a-5p,-920.936154518424
950.158080676365,0.97602274687729,0.180181880877039,4.8392354931683e-09,9.54768083787259e-08,hsa-miR-342-5p,918.836273397698
3990.51270425042,-0.36363571348933,0.196658964414768,0.0482955587716399,0.152939666152716,hsa-miR-584-5p,-889.072299107354
885.99668403845,0.973415622410661,0.171347144282478,8.03819280649413e-09,1.53075149967149e-07,hsa-miR-4732-5p,853.643364521801
779.199230881847,1.04781647861427,0.236536804340834,1.32213282423662e-06,1.67368259253075e-05,tRF-18-MBQ4NKDJ,831.716064941376
1686.03923684619,0.578213211496015,0.370132441575014,0.0565582355044293,0.172031299659306,hsa-miR-150-5p,831.215679239678
320.90741612754,1.8263846034101,0.387971537744938,1.97529114752917e-06,2.43027393993758e-05,hsa-miR-3656,817.181786124016
1264.63713008774,-1.40766640324735,0.227049853055631,7.26458944241307e-11,2.03967318960059e-09,hsa-miR-146a-5p,-787.968998545914
1058.06425744261,0.779259053117088,0.253488650519116,0.0014346739939766,0.00884047873685439,hsa-miR-1306-5p,757.837684527308
4140.36297583814,-0.289539250716048,0.161818991532591,0.0711154515389527,0.206494930841518,hsa-miR-3158-3p,-752.869893729032
2300.93413319067,0.385398425083997,0.225664698365533,0.060947934361661,0.182593674763389,tRF-16-MBQ4NKD,704.593137602532
1218.35663766381,0.640792942898131,0.160726754472874,4.85872811423012e-05,0.000454727118383075,hsa-miR-320c,681.287844634943
1016.51551175177,-1.54957890314048,0.182765549492221,1.16735286674008e-18,1.02260111126431e-16,hsa-miR-222-3p,-669.263892343135
576.478203236945,1.10846901464862,0.209164146983097,2.82866211322126e-08,4.87777167555478e-07,hsa-miR-4685-3p,666.505154276596
2846.25809131882,-0.330976292260533,0.1419901187002,0.015761874016269,0.0624204414025841,hsa-miR-652-3p,-583.487704632807
860.218649436726,-1.57553177043582,0.208683381522149,2.94254085367092e-15,1.57174743159495e-13,hsa-miR-23a-3p,-571.59857673447
725.755876776001,-2.14155615149979,0.293534326395208,6.49847194103775e-15,3.30968687229597e-13,hsa-miR-199b-3p,-561.274049441826
1412.48730400425,-0.702528555944503,0.172867485558145,1.198084567802e-05,0.000127369184635261,hsa-miR-24-3p,-544.521960652753
2231.34158622614,-0.398723441095876,0.188021275493868,0.0227052685835053,0.083852509608561,hsa-miR-30c-5p,-538.803914262945
658.228500408298,0.853736278800513,0.141232683349813,3.10256249128168e-10,7.6343953437156e-09,hsa-miR-1301-3p,531.305639861974
898.104820551074,-1.23641378356263,0.178858168717167,5.725403469364e-13,2.23904171391199e-11,hsa-miR-27b-3p,-516.925447373107
536.424211553328,-3.07260739060081,0.36762209912855,1.06667548959108e-18,9.73341384251864e-17,hsa-miR-143-3p,-472.662292140048
225.646109034613,1.62216963785915,0.189083139638086,1.301458095479e-18,1.09622816503808e-16,hsa-miR-6511b-3p,468.977544804933
283.160962460752,1.38317116437803,0.188306349688695,2.72187213041663e-14,1.32464443680276e-12,hsa-miR-6511a-3p,455.439184005036
355.241577696768,1.17016636158174,0.167607880407785,6.46968365632668e-13,2.44286331161301e-11,hsa-miR-1260b,444.185703599503
1069.41654335544,0.491081419389134,0.232464593597608,0.0238018725777804,0.0869307150001478,hsa-miR-1294,433.646288876025
665.952011954976,-1.48068583114564,0.146854440169199,1.23477224365424e-25,5.40830242720558e-23,hsa-miR-30e-5p,-427.329130309628
428.693359577734,0.995013513398229,0.176026629529123,1.71801978434879e-08,3.05891327457224e-07,hsa-miR-324-3p,425.735030074622
2103.04490953699,0.261689018273905,0.174323013726912,0.125422793496589,0.307243755880906,hsa-miR-185-3p,418.256641458381
195.111076558327,1.65211195810694,0.182138164509293,5.78619762889132e-20,6.66935410909052e-18,hsa-miR-6803-3p,418.110151873018
600.448459322856,-1.69919185858607,0.231283669569066,2.38805088193787e-15,1.30745785786099e-13,hsa-miR-194-5p,-415.535215602386
543.217529195651,-1.92254113508503,0.396799359107887,8.149165759249e-09,1.53850629420304e-07,hsa-miR-151a-5p,-399.922466678696
1113.5457468726,-0.640581173561721,0.252345582633758,0.00320046516763285,0.0173062190546073,hsa-miR-30e-3p,-399.25682331286
504.279624289585,0.841314140080118,0.202732954394828,1.23686990910841e-05,0.000130288347684796,hsa-miR-574-3p,399.228813038479
1391.091784166,-0.479557444346206,0.16904568345815,0.00249449892273276,0.0141894873786617,hsa-miR-221-3p,-393.404102028003
486.246151108851,-2.21744033807298,0.289741880411686,5.83761259824231e-16,3.55121433059741e-14,hsa-miR-99a-5p,-381.692279009694
463.47036315782,0.847286361071924,0.41757412790788,0.00953325942982788,0.0419934797929703,hsa-miR-4433b-5p,370.365514703732
614.590639975005,-1.32138298000657,0.196803291099599,2.22079139341388e-12,7.84440830899421e-11,hsa-miR-7976,-368.661478472698
215.990420803243,1.36983145684468,0.187474956570157,1.34634686759514e-13,6.14270758340284e-12,hsa-miR-1260a,342.216026231655
433.029260286137,-2.13437245886783,0.329955376003457,1.41348451009753e-12,5.24666284256541e-11,hsa-miR-223-3p,-334.399696787723
1900.98532997355,-0.277258515560785,0.149376532959722,0.0611008612077414,0.182720680811652,hsa-miR-501-3p,-332.372959430793
926.372431954521,-0.620303696879142,0.178575915361448,0.000206854845552631,0.00160642592822788,hsa-miR-155-5p,-323.735694624833
467.522604941506,-1.61446058581031,0.196933210042268,3.83101244106615e-17,2.89307491239133e-15,hsa-miR-23b-3p,-314.835784677518
544.242342807104,-1.1467522072232,0.26130872529516,1.47101063475931e-06,1.83431471449635e-05,hsa-miR-20b-5p,-298.440284373544
420.592953103558,-1.72054264369395,0.306477514840827,5.78368711360653e-09,1.13091739096413e-07,hsa-miR-378i,-292.970511991855
969.390244466306,-0.507983506018065,0.0937576860769191,3.05020915923638e-08,5.21871723338099e-07,hsa-miR-361-3p,-287.71052709248
1459.44907514161,0.239416849940645,0.159254677565591,0.115242165741886,0.288105414354715,hsa-miR-18a-3p,263.4530193421
146.847273257589,1.44232775663532,0.354541027584517,1.03426828342328e-05,0.000112688932372984,tRF-22-8B8SOUPR2,252.223392037868
299.930058916852,0.87935759938111,0.377081548558958,0.00688795514162822,0.0321633726229548,tRF-17-863IP52,251.808081956716
155.000177725892,1.39156392311447,0.170740852733362,2.29923579798148e-16,1.43866468502269e-14,hsa-miR-3177-3p,251.662838861028
162.290943796734,1.34612750295022,0.296370414644474,6.04568208994827e-07,8.12272624355013e-06,hsa-miR-1249-3p,250.299383533987
353.354551950086,-1.76387716401429,0.536309823185655,0.000128217114188784,0.00108415243271597,hsa-miR-409-3p,-249.307266226077
1324.98193976079,-0.299468515723076,0.177577360071715,0.0771613471492562,0.217481789262382,hsa-let-7e-5p,-248.365635077848
187.901734918499,1.2108323478839,0.222780062796132,4.39323794161406e-09,8.90851027049518e-08,hsa-miR-25-5p,247.036558860296
