"name","cluster"
"tRF-21-WB86N7O5D","5"
"tRF-21-WB8US565D","5"
"tRF-21-WD8YQ84VD","5"
"tRF-21-WUH6QE30E","2"
"tRF-21-XOUZDZN1B","4"
"tRF-21-YDZDL9X1B","4"
"tRF-21-YOHR6HFRD","5"
"tRF-22-1EWJQ72SJ","4"
"tRF-22-5BF900BY3","2"
"tRF-22-8B8SOUPR2","2"
"tRF-22-8EKSP1852","2"
"tRF-22-EXEY0VWUJ","4"
"tRF-22-JMRPFQRD5","4"
"tRF-22-NMEH623KN","2"
"tRF-22-NRDF7UK8N","4"
"tRF-22-NYDRFU8UN","2"
"tRF-22-S2I7L7P5M","4"
"tRF-22-V47PU9XWP","3"
"tRF-22-W0K672052","2"
"tRF-22-WB08Q2B52","2"
"tRF-22-WB0Q37Q52","1"
"tRF-22-WB863IP52","2"
"tRF-22-WB8647O52","2"
"tRF-22-WB8689SV2","2"
"tRF-22-WB86N7O52","2"
"tRF-22-WB86Q3P92","1"
"tRF-22-WB8US5652","1"
"tRF-22-WD8S746D2","2"
"tRF-22-WD8YQ84V2","2"
"tRF-22-WE8RO86J2","2"
"tRF-22-WE8S68L52","2"
"tRF-22-WE8SPOL52","2"
"tRF-22-WE8SPOX52","2"
"tRF-22-WEKSPM852","2"
"tRF-22-WLBSDEL8N","4"
"tRF-22-ZKXU53K8N","2"
"tRF-23-392J1Y0SDZ","2"
"tRF-23-3JVIJMRP9","2"
"tRF-23-3W2VR008DZ","2"
"tRF-23-79MP9P9MDD","2"
"tRF-23-79MP9PMNDD","6"
"tRF-23-7OFIZ9WUD2","2"
"tRF-23-9LON4VN18","4"
"tRF-23-BZBZOS4YV","4"
"tRF-23-EXEY0VWUD2","2"
"tRF-23-NYDRFU8U0E","2"
"tRF-23-RXPIN24Y7","2"
"tRF-23-Z87HFK8SDZ","4"
"tRF-24-3JVIJMRPEU","4"
"tRF-24-7SIR3DR2I2","6"
"tRF-24-9LON4VN1EM","2"
"tRF-24-9MVKS4I71Z","4"
"tRF-24-BZBZOS4YE2","4"
"tRF-24-WJQ72S3HIJ","4"
"tRF-24-XSXMSL732Z","1"
"tRF-24-YKISQI451V","4"
"tRF-25-2IUIX1Q7O6","2"
"tRF-25-32VIJMRPFQ","4"
"tRF-25-43RX6NMH49","6"
"tRF-25-5BF900BY4D","4"
"tRF-25-7P596VW631","2"
"tRF-25-9LON4VN1EH","4"
"tRF-25-I3VF4YO9XE","2"
"tRF-25-MEF91SS2PM","4"
"tRF-25-VIJMRPFQRD","4"
"tRF-25-Y8L981PV6R","4"
"tRF-26-5BF900BY4DE","2"
"tRF-26-739P8WQ0D5D","2"
"tRF-26-86J8WPMN1EE","2"
