MINTplate,n
tRF-16-8R6546D,2
tRF-16-WK6WRNE,2
tRF-16-Y8RH93E,2
tRF-17-8R6546J,2
tRF-17-KSP1852,2
tRF-17-NSRJ7KQ,2
tRF-18-877343DZ,2
tRF-18-8B8SOUDV,2
tRF-18-8R6546D2,2
tRF-18-H9R8B7D2,2
tRF-18-HRF8X7D2,2
tRF-18-HRMF3RV,2
tRF-18-HSRVK7D2,2
tRF-18-KR6946D2,2
tRF-18-W9RKM80E,2
tRF-18-XRPM46D2,2
tRF-19-8B8SOUIJ,2
tRF-19-9N1EWJI5,2
tRF-19-FEWS3VF8,2
tRF-19-HRMF3RE2,2
tRF-19-WB86892K,2
tRF-20-9N1EWJQ7,2
tRF-20-S3M8309N,2
tRF-20-W7WK6WRN,2
tRF-21-9N1EWJQ7D,2
tRF-21-LEKPM43RB,2
tRF-21-MPW4PU73E,2
tRF-21-V29K9UV30,2
tRF-21-WB8689SVD,2
tRF-21-WB86Q3P9D,2
tRF-21-WEPSJR85D,2
tRF-21-WR381H93E,2
tRF-22-8BWS72092,2
tRF-22-9N1EWJQ72,2
tRF-22-WB8689SV2,2
tRF-22-WE8SPOL52,2
tRF-22-WEPSJR852,2
tRF-23-9N1EWJQ7D1,2
tRF-24-9N1EWJQ7FV,2
tRF-27-9N1EWJQ72SJ,2
tRF-30-V29K9UV36562,2
tRF-16-9N1EWJ0,1
tRF-16-NY2V7KE,1
tRF-16-S3M830E,1
tRF-16-ZDL9X1B,1
tRF-16-ZSIJ7KE,1
tRF-17-8773434,1
tRF-17-9N1EWJM,1
tRF-17-ME6KM8N,1
tRF-17-W9RKM8N,1
tRF-18-3290Q4DZ,1
tRF-18-4ZMKQ4DZ,1
tRF-18-9N1EWJDW,1
tRF-18-S3M83004,1
tRF-18-XZX5Q4DZ,1
tRF-19-S3M830JZ,1
tRF-19-W7WK6WIZ,1
tRF-20-1EWJQ72S,1
tRF-20-K2821IQ4,1
tRF-20-M0NK5Y93,1
tRF-20-MPW4PU73,1
tRF-20-WR381H93,1
tRF-21-32Q86N7KE,1
