,1_10115_88_S4,1_70008_mor_imp,10_40039_S11,10_90002_mor_det,11_10102_mor_det,11_40044_S12,12_20042_eve_det,12_40035_S13,13_10119_94_S14,13_90006_eve_det,14_10104_eve_det,14_40003_S15,15_40047_S16,15_Control_blood_9,16_10103_I1,16_Control_blood_11,17_10108_I2,17_Control_blood_12,18_10136_I3,18_Control_blood_13,19_10141_I4,19_Control_blood_14,2_10131_83_S5,2_40058_mor_imp,20_10155_I5,20_Control_blood_15,21_10181_I6,21_Control_blood_16,22_10100_D1,22_Control_blood_17,23_10116_D2,23_Control_blood_18,24_10145_D3,24_Control_blood_19,25_10146_D4,26_10156_D5,27_30057_D6,3_10166_mor_imp,3_10189_45_S6,4_10177_eve_imp,4_90003_S7,5_10171_eve_imp,5_40026_S8,6_30065_S9,6_40049_eve_imp,7_30040_mor_det,8_60004_mor_det,9_30053_mor_det,9_30074_50_S10
tRF-16-2QW18FD,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-2WW18FD,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-30MB01B,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
tRF-16-34L2H1B,,,,,,,,,,,,,,,,,,,1,,1,,,,2,,,,1,,1,,2,,,,2,,,,,,,,,,,,
tRF-16-34QFI2E,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-3B1NR8E,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,1,,,,,
tRF-16-3JW261B,,,1,5,3,,2,1,2,2,,1,,,,14,,,,4,,4,3,,2,,,3,1,2,1,12,1,3,,,,1,3,3,4,5,4,,2,1,3,3,
tRF-16-3JWB61B,2,9,6,11,16,,24,26,8,3,37,9,5,6,14,51,15,13,4,17,4,22,7,8,20,8,7,8,4,17,12,36,4,27,6,1,6,10,10,6,10,13,5,4,17,3,21,27,17
tRF-16-3KJB01B,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
tRF-16-3KJBP1B,,,,,,,1,,1,,2,,,,1,1,,1,1,1,,1,,,,,,,,2,,9,,1,1,,,,,1,,1,1,,1,1,,,3
tRF-16-3KMB01B,61,22,50,56,35,6,81,62,71,18,156,33,33,22,46,183,37,48,44,66,40,99,25,34,41,6,14,30,8,75,37,181,17,112,17,10,22,24,75,25,39,56,30,33,86,14,49,66,80
tRF-16-3KXR3RB,,5,5,10,1,,13,4,2,2,17,1,10,,4,8,8,7,6,10,2,12,4,3,4,2,2,2,1,16,2,12,4,5,2,3,,3,,2,,9,,1,7,,9,11,6
tRF-16-3VL8W1B,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,2,,,1,,,,,,,,1,,,,,,,1,,,1,
tRF-16-3VLIE1B,6,1,5,,3,,2,2,2,2,2,4,2,3,1,9,1,3,1,4,3,4,3,1,1,,1,4,,5,,11,,8,1,,2,,1,1,3,3,2,,,,2,3,1
tRF-16-3VMKNRB,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,
tRF-16-3VWIQ1B,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,
tRF-16-409Z7KE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-16-40KK5YE,,2,,1,2,,2,1,3,,,3,2,4,,6,,2,,3,,2,,1,1,5,1,4,,,,5,,1,,1,,1,,2,2,4,,,1,,5,2,1
tRF-16-45EHBKE,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-16-4892KRB,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-489B3RB,2,4,1,2,3,1,2,9,8,,4,4,3,8,4,29,2,14,,6,3,9,2,1,3,5,1,8,,8,1,22,1,25,1,5,3,2,,3,4,2,2,2,9,1,,2,6
tRF-16-489L3RB,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-4P64R90,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,
