,1_10115_88_S4,1_70008_mor_imp,10_40039_S11,10_90002_mor_det,11_10102_mor_det,11_40044_S12,12_20042_eve_det,12_40035_S13,13_10119_94_S14,13_90006_eve_det,14_10104_eve_det,14_40003_S15,15_40047_S16,15_Control_blood_9,16_10103_I1,16_Control_blood_11,17_10108_I2,17_Control_blood_12,18_10136_I3,18_Control_blood_13,19_10141_I4,19_Control_blood_14,2_10131_83_S5,2_40058_mor_imp,20_10155_I5,20_Control_blood_15,21_10181_I6,21_Control_blood_16,22_10100_D1,22_Control_blood_17,23_10116_D2,23_Control_blood_18,24_10145_D3,24_Control_blood_19,25_10146_D4,26_10156_D5,27_30057_D6,3_10166_mor_imp,3_10189_45_S6,4_10177_eve_imp,4_90003_S7,5_10171_eve_imp,5_40026_S8,6_30065_S9,6_40049_eve_imp,7_30040_mor_det,8_60004_mor_det,9_30053_mor_det,9_30074_50_S10
tRF-19-XU53F8ID,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-19-XU53K825,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,1,
tRF-19-XZX5Q42E,1,3,,2,1,,1,5,4,2,,2,,3,,10,,5,,2,,4,,1,,2,,,,3,1,7,,5,,,,1,1,,2,,,2,4,,2,1,1
tRF-19-XZX5S4E9,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-19-Y6FPZD14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
tRF-19-Y6R9O9H4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-19-Y81H93JL,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
tRF-19-Y87HFKJJ,,,1,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,2,,,,1,,,,
tRF-19-Y8HPDEJU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-19-Y8RH93JL,,2,,,1,,,1,,,,,,,,,1,,,,2,1,,,,,,,,,,1,1,,,,,1,,,,,,2,,,1,1,2
tRF-19-Y9PYKH1Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-19-YBUP0OH9,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-19-YDU37YJY,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-19-YDZDL9JR,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
tRF-19-YKIR9NK2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-19-YKISQIH2,,,,,,,,,3,,,,,,,,,1,,1,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
tRF-19-YKWIR9IE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-19-YOH5S82D,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-19-YOHR0VJV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-19-YOHR6HEV,2,1,,,1,,,2,,1,2,,1,1,2,1,,1,,2,1,3,1,,,2,1,,,,,1,,1,,1,,,,1,,,1,1,1,2,2,,1
tRF-19-YPSV171J,1,1,2,1,1,,3,,2,1,2,,,2,,3,,6,1,1,,2,,1,1,,,1,,2,1,11,1,3,,,,2,,1,,2,,,5,,3,3,
tRF-19-YRI7XU1K,1,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
tRF-19-YRL51N16,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-19-YS56O2KL,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-19-YU0RERJZ,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,
tRF-19-YU0RSSJV,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
tRF-19-YU8SRZ19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-19-YUH5S82D,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-19-YUHR0VJV,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-19-YUHRE9JR,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
tRF-19-YUHRERJR,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-19-YUPR180V,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-19-YUS9R80V,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,1,,,,,,
tRF-19-YUYR66FM,,,1,1,,,1,1,,,,1,,2,,,,,,,,,,,,1,,,,1,,1,,1,,,,,,,2,3,2,,,,1,,2
tRF-19-YUYR6RFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
tRF-19-YUYSQS0Y,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-19-YZQD3KKK,,1,,1,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,1,2
tRF-19-Z3M8ZL2J,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,1,,1
tRF-19-Z3RZ182X,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-19-Z44Y2V24,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-19-Z5EFOKJ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-19-Z631QJ14,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-19-Z6KPQJ14,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-19-Z87HFKJJ,,,,,,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,
tRF-19-Z906681K,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-19-ZFLWRN16,,2,,,1,,1,1,1,2,,,,1,1,1,1,2,,,,1,1,2,2,,,,,,,2,,,,,1,1,,3,1,4,2,1,4,2,1,,
tRF-19-ZFMQ5J1K,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-19-ZKXU531K,1,1,,4,2,,2,,,2,,,,,,2,,1,,2,,,,,,,,3,,1,1,3,1,,,,,,,1,,1,,,1,,6,,
tRF-19-ZLB6R318,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
tRF-19-ZR3FJ3JL,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-19-ZR3HJ3JL,,,,,,,1,1,,,2,1,,,1,,2,1,,,,,,1,1,1,,1,,1,,1,,,,1,,,1,,,1,,,1,,,1,
tRF-19-ZR73S32E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
tRF-19-ZRS3S32D,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-19-ZRS3SJ2E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
tRF-19-ZSIJ7KKK,1,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
tRF-19-ZVEH93JL,1,2,3,2,2,2,4,5,1,3,2,2,3,6,4,2,3,3,,4,,5,2,6,1,4,,7,,5,4,4,1,2,2,,4,3,5,1,1,9,4,3,6,1,3,3,5
tRF-19-ZVELXK1J,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-20-04SXQ3V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
tRF-20-077343RX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1
tRF-20-0HLBRR33,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,2,,
tRF-20-0M0RHB26,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
tRF-20-0P58309N,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,2,,2,,,,,,,,,1,1,,,1,,,,
tRF-20-0PNYRKYU,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,
tRF-20-0PRMQ0YO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-20-0VL8K87S,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1
tRF-20-10H7RNLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
tRF-20-11M3WE8S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
tRF-20-12Z4R95M,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-13KK769R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-20-14PSR9O9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,1,,1,,,
tRF-20-15WV7W6S,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,
tRF-20-17NSRJ7K,,1,,,,,,,,,1,,,,1,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,2,,,,1,,,
tRF-20-184KISQI,,1,,1,1,,1,,2,2,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,1,1,,,1,,
tRF-20-18UKMSS9,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-18Y3E7QN,,,1,,,,,3,,,,,1,2,,3,1,8,,1,,4,1,,,,,4,1,2,,12,,1,1,,,,1,,1,,,1,1,,1,,
tRF-20-18YKI6QI,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
tRF-20-18YKISQI,99,118,107,170,89,89,142,159,109,95,196,71,91,74,13,205,23,76,18,113,22,186,120,89,18,27,10,103,14,98,15,112,15,133,12,11,16,79,56,140,124,126,123,72,120,45,185,124,204
tRF-20-1E8Y7Z2R,,,,,,,1,,,,,,,1,,1,,2,,1,,1,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,1
tRF-20-1ER37E14,,1,,,2,,,,,,,,,2,,,,2,,1,,5,1,1,,8,,2,,,,1,,1,,,1,2,2,1,,2,1,,,1,1,,
tRF-20-1EWJQ72S,5,2,12,5,5,,10,21,28,,5,10,13,6,,33,1,14,,11,2,3,7,6,1,5,,8,,6,2,22,,19,3,1,2,6,13,5,22,8,9,13,8,3,9,4,14
tRF-20-1HPSR9O9,,,,,,,,,1,,,,,,,1,2,,,,,,,,,,,,,,,1,,,,,,2,,,,,,1,,,1,,
tRF-20-1K7LQ673,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,
tRF-20-1KVUY9QZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,
tRF-20-1KVUY9RZ,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
tRF-20-1M38YU8S,1,,,,1,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-1MP34RN2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-1PW4PU73,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-1QKS3W2V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
tRF-20-1S91547O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
tRF-20-1SH2P4FI,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-1SS2P46I,6,2,5,2,11,,7,4,3,2,2,5,5,3,1,8,,9,,6,,3,4,1,1,4,,3,2,5,1,5,1,6,,2,,6,9,6,6,6,4,1,14,5,2,14,5
tRF-20-1SS2P4F1,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,1,,,,
tRF-20-1SS2PMFI,,1,,,,,,1,2,1,1,,,1,,2,,,,,,,1,2,,1,,2,,,,2,,4,,,,,,,,1,,1,,1,1,,1
tRF-20-1YIF54RN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
tRF-20-1YIPRVYJ,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,,,,
tRF-20-22RR338B,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-232WMK81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,
tRF-20-23W8WR64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-20-23W8WRD8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-20-24SJQMXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
tRF-20-299DWUHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
tRF-20-2DN1RJY6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-20-2E2WMK81,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
tRF-20-2E3KXR3R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,
tRF-20-2E48923R,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,
tRF-20-2E489B3R,,,,1,,2,,,,,,,,1,,1,,3,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,1
tRF-20-2E4V9K3R,,,,,1,,1,1,,,,1,,1,,1,,,,,,1,,,,,,,1,1,,1,,1,,,,,1,,,1,,,1,,,,
tRF-20-2EK8E0KR,2,,3,3,4,,6,1,1,1,2,4,1,3,2,2,2,4,1,1,,,1,3,2,3,1,2,,1,1,3,,,1,,,2,1,5,1,4,,3,3,5,7,1,1
tRF-20-2J1Y0SR9,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,2,,,,,,,,,,1,,,,,,1,,1,,,
tRF-20-2M3827K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
tRF-20-2MK827K1,2,1,2,4,3,,16,5,1,,6,2,2,3,1,1,1,,,6,2,6,,3,,1,2,,,4,2,5,3,1,2,,1,5,2,6,5,12,1,,9,3,7,4,1
tRF-20-2MK8J7K1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,1,,,,,,1,,,
tRF-20-2MKP27K1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-2NK8KEP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-20-2OOIQO4Q,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-2S3HPSR9,1,2,2,6,2,,2,3,1,,2,2,,4,,1,,4,1,3,,4,,1,,,1,1,1,3,,1,1,1,1,,,2,,3,,,,1,2,,3,3,
tRF-20-2U6R938E,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-2U6RM38E,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-2URR93WE,,,,,,,,,1,,,,,,,,,,,1,1,,,,,3,,1,,1,1,1,,,,,2,,,,,,,,,,1,,1
tRF-20-2VO0SR9E,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-2VO0SRMN,,,,,1,1,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,1,
tRF-20-2VR0PSR9,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-2VR0PSRZ,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-2YBE7XO8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
tRF-20-2YU04DYJ,,,,,,,,,,,,,,2,1,,1,,2,1,2,,,,,1,2,,2,,1,,,,3,2,1,,,,,,,,,,,,
tRF-20-31QJ3KYU,,1,,,,,2,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,2,,1,1,3,1,,1
tRF-20-3282FN5K,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-20-3290Q4R9,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-32Q86N7K,,,3,,1,,2,,,2,,1,,,,,,,,1,,1,,,,2,,2,,2,,1,1,2,,,,,,,,1,,,1,2,1,1,1
tRF-20-392J1Y0S,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-3HPSR959,4,6,3,4,11,,17,16,12,8,7,6,5,1,5,18,1,8,3,6,1,4,4,5,1,4,1,6,1,12,1,10,2,29,1,,,13,7,9,11,8,6,11,15,6,30,14,5
tRF-20-3JVIJMRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
tRF-20-3R8BPE0I,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-3V2VR0PS,,2,,,,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,3,
tRF-20-3W2VR008,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
tRF-20-40KK5Y93,215,260,180,165,235,25,267,222,281,144,277,239,130,311,124,708,110,536,72,414,88,391,124,128,127,460,54,291,40,387,99,719,67,654,56,56,74,279,145,201,193,286,65,128,352,150,264,192,131
tRF-20-436X6NMH,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-43RX6NMH,,,,,,,,,1,,,,1,,3,,5,1,5,1,4,,,,6,,,1,4,,4,,5,,1,11,4,1,,,,1,2,,,1,,1,1
tRF-20-45EHBK8R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
tRF-20-45LSM1M3,1,,1,1,2,,1,1,,1,2,1,,1,,1,,1,,1,,,3,1,3,,,1,1,,,,,1,,1,,1,,,,2,1,,3,,2,2,1
tRF-20-4656OKNH,,,,,,,1,1,,,,,,,,2,,3,,,,1,,1,,,,1,,,1,3,,1,,,1,,,2,1,,,,2,3,,,
tRF-20-46I26WRN,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1
tRF-20-490VL8K8,,2,,,1,,2,1,,1,,,1,,,1,,,,,,,,,,1,,,,1,,1,,1,,1,,1,,,1,,,,1,,,,
tRF-20-4BRRN3WE,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,
tRF-20-4DEHBK8R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
tRF-20-4E6L1FZJ,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-4E8BR9M3,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,
tRF-20-4KRQ59W3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,2,1,,,,,,,,,,1,,
tRF-20-4O77R7KE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,
tRF-20-4P9L5HMV,,,1,,,,,1,1,,,1,,,1,,,,,,,,1,,,,,1,,,,1,1,,,,,1,1,,1,,,,,,2,,
tRF-20-4RLV1NLD,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,
tRF-20-4RLV1NLE,,,,,1,1,1,1,,1,1,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,
tRF-20-4RN26WRN,,1,1,,,,,,,,,,,,,1,1,3,1,1,,1,,1,,1,,,,1,,,,,,,,,,,,,1,,,2,2,,
tRF-20-4S581H93,,,,,,,,,,,1,,,,,1,,,,,,,,,,2,,,,,3,,,1,,,,,,,,,,,,,,,
tRF-20-4YDRFU8U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-20-4ZM0Q4R9,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,
tRF-20-4ZMKQ4R9,1,,,1,,,,,,,,,,,,2,,,,,,3,,2,,,,,1,,,1,1,3,,1,,,1,,1,,1,,1,1,1,1,3
tRF-20-4ZMKQ4RZ,,,,,,,1,,,1,,,,,1,1,1,1,2,1,1,2,,,1,,1,,6,1,,1,,,,1,,2,,,,1,,,,1,2,,1
tRF-20-50SJREL4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
tRF-20-51K36D26,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,
tRF-20-54SX1HK2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-56OKNH99,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-581H93WB,,,,1,,,1,2,,,,,,,,,,,,,,,,1,,,2,,,,,1,,2,,,,1,,,,,1,1,2,1,,,1
tRF-20-593J2H26,,,,,,,,1,1,,,,,,,,,1,,,,,,,,1,,1,,1,,,,1,,,,1,,,1,,,,2,,,1,1
tRF-20-593JK426,9,5,5,10,5,3,18,17,12,18,3,10,11,5,7,10,8,8,4,3,3,7,7,8,5,11,8,16,3,6,2,5,9,8,,6,1,37,6,15,21,9,18,12,13,9,13,17,11
tRF-20-593KMH26,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,1,1,,1,,,,1,
tRF-20-596VW631,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-598LS7F6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
tRF-20-59KNNVOR,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-20-59KUMKF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-20-59MIL0O6,,1,,,,,,,1,,,1,,,1,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,1,
tRF-20-59NRZZX6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,
tRF-20-5BF900BY,,,,,,,1,1,,,,1,,,1,,1,1,2,,3,1,,,4,4,2,2,4,1,5,,4,,3,2,3,,,1,,1,,,1,,,,
tRF-20-5F924ZD7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-20-5HSX1HN2,,,,,,,,,,,,,,,,1,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,1,,,,
tRF-20-5P7JE2ON,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
tRF-20-5R3J0926,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
tRF-20-5R3JH926,1,3,9,6,6,1,6,3,2,2,4,4,2,,2,5,2,1,1,4,,7,1,6,2,2,1,5,,4,1,6,,1,1,,,6,2,5,1,9,,3,3,,10,5,2
tRF-20-5RK30926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,
tRF-20-5RM3Y826,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-20-5RMJ6B26,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-5V3F8926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
tRF-20-5VF3R3ZV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,
tRF-20-5XR4NPNN,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,
tRF-20-60MV9JKL,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,1,,1,,1,,1,,2,,,1,,2,,,,,1,1,1,,,
tRF-20-628YR9OM,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-62DI2OOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-20-64VIJ4S2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-20-6978WPR4,2,1,,,,,,,,,,,,,,1,,,,,,1,1,,,1,,,,1,1,,,,,,,,,,,,1,2,,1,,,
tRF-20-69M8LO9E,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
tRF-20-69M8NPN3,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,1,,,
