"","cells","file","batch"
"168","CD14 cells","SRR5755982",2
"169","CD15 cells","SRR5755983",2
"170","CD19 cells","SRR5755984",2
"171","CD235a cells","SRR5755986",2
"172","CD4 cells","SRR5755980",2
"173","CD56 cells","SRR5755985",2
"174","CD8 cells","SRR5755981",2
"175","CD14 cells","SRR5755989",1
"176","CD15 cells","SRR5755990",2
"177","CD19 cells","SRR5755991",2
"178","CD235a cells","SRR5755993",2
"179","CD4 cells","SRR5755987",2
"180","CD56 cells","SRR5755992",2
"181","CD8 cells","SRR5755988",2
"182","CD14 cells","SRR5755996",2
"183","CD15 cells","SRR5755997",2
"184","CD19 cells","SRR5755998",2
"185","CD235a cells","SRR5756000",2
"186","CD4 cells","SRR5755994",1
"187","CD56 cells","SRR5755999",2
"188","CD8 cells","SRR5755995",2
"189","CD14 cells","SRR5756003",2
"190","CD15 cells","SRR5756004",2
"191","CD19 cells","SRR5756005",2
"192","CD235a cells","SRR5756007",2
"193","CD4 cells","SRR5756001",2
"194","CD56 cells","SRR5756006",2
"195","CD8 cells","SRR5756002",2
"196","CD14 cells","SRR5756009",2
"197","CD15 cells","SRR5756010",2
"198","CD19 cells","SRR5756011",2
"199","CD235a cells","SRR5756013",2
"200","CD56 cells","SRR5756012",2
"201","CD8 cells","SRR5756008",2
"202","CD14 cells","SRR5756016",2
"203","CD15 cells","SRR5756017",2
"204","CD19 cells","SRR5756018",2
"205","CD235a cells","SRR5756020",2
"206","CD4 cells","SRR5756014",2
"207","CD56 cells","SRR5756019",2
"208","CD8 cells","SRR5756015",2
"209","CD14 cells","SRR5756023",2
"210","CD15 cells","SRR5756024",2
"211","CD19 cells","SRR5756025",2
"212","CD4 cells","SRR5756021",2
"213","CD56 cells","SRR5756026",2
"214","CD8 cells","SRR5756022",2
"215","CD14 cells","SRR5756029",2
"216","CD15 cells","SRR5756030",2
"217","CD19 cells","SRR5756031",2
"218","CD4 cells","SRR5756027",2
"219","CD56 cells","SRR5756032",2
